"method","lasso_type","eta_spec","HTE_spec","prop_score_spec","stage","k","MSE","mean_sq_HTE_true","n_valid_entries"
"TV-CSL","S-lasso","complex","linear","cox-linear-all-data","final",0,1.22150292997811,0.288584681479738,72
"TV-CSL","S-lasso","complex","linear","cox-linear-all-data","final",1,1.04119275638372,0.288584681479738,70
"TV-CSL","S-lasso","complex","linear","cox-linear-all-data","final",2,1.2600375887746,0.288584681479738,51
"TV-CSL","S-lasso","complex","linear","cox-linear-all-data","first",0,0.378350127578164,0.288584681479738,96
"TV-CSL","S-lasso","complex","linear","cox-linear-all-data","first",1,0.404548022009905,0.288584681479738,93
"TV-CSL","S-lasso","complex","linear","cox-linear-all-data","first",2,0.355084404751622,0.288584681479738,93
"TV-CSL","S-lasso","linear","linear","cox-linear-all-data","final",0,1.14941182301321,0.288584681479738,82
"TV-CSL","S-lasso","linear","linear","cox-linear-all-data","final",1,1.07882139470432,0.288584681479738,72
"TV-CSL","S-lasso","linear","linear","cox-linear-all-data","final",2,1.18859680525725,0.288584681479738,54
"TV-CSL","S-lasso","linear","linear","cox-linear-all-data","first",0,1.10498868349632,0.288584681479738,81
"TV-CSL","S-lasso","linear","linear","cox-linear-all-data","first",1,1.17767892174429,0.288584681479738,53
"TV-CSL","S-lasso","linear","linear","cox-linear-all-data","first",2,0.893251199679146,0.288584681479738,74
"TV-CSL","m-regression","complex","linear","cox-linear-all-data","final",0,1.21341057183036,0.288584681479738,70
"TV-CSL","m-regression","complex","linear","cox-linear-all-data","final",1,0.942039435464755,0.288584681479738,67
"TV-CSL","m-regression","complex","linear","cox-linear-all-data","final",2,1.27386663144862,0.288584681479738,53
"TV-CSL","m-regression","linear","linear","cox-linear-all-data","final",0,0.856643186090734,0.288584681479738,82
"TV-CSL","m-regression","linear","linear","cox-linear-all-data","final",1,1.00208089404636,0.288584681479738,74
"TV-CSL","m-regression","linear","linear","cox-linear-all-data","final",2,1.22718001890907,0.288584681479738,58
"single","S-lasso","complex","linear",NA,"final",0,0.385661109213799,0.288584681479738,100
"single","S-lasso","linear","linear",NA,"final",0,0.491789845899092,0.288584681479738,83
