"n","R","Outcome","Method","Bias","SE_Est","MSE"
250,200,"linear-interaction","R-Lasso",-0.000941897874488506,0.203564553091305,0.0412322218104922
250,200,"linear-interaction","S-Lasso",0.0545983387305984,0.268210317478375,0.0745580691219825
250,200,"log","R-Lasso",0.0156671876955263,0.185711225322372,0.0345616766849699
250,200,"log","S-Lasso",0.0719785632465333,0.295074493304599,0.0918145253830062
250,500,"linear-interaction","R-Lasso",0.0159117812214651,0.213906657987829,0.0459177309964989
250,500,"linear-interaction","S-Lasso",0.0432301760048002,0.281774319562176,0.0811068217478037
250,500,"log","R-Lasso",0.00945655541047685,0.21467065250669,0.0460807485097842
250,500,"log","S-Lasso",0.0593411065542735,0.318961202579025,0.105054143180242
500,200,"linear-interaction","R-Lasso",0.00591283113127261,0.170274316919725,0.0288833378594536
500,200,"linear-interaction","S-Lasso",0.0284547796631558,0.226773591293022,0.0519788048850736
500,200,"log","R-Lasso",-0.0069185530318886,0.134249950931496,0.0179808004545385
500,200,"log","S-Lasso",0.0420388129092939,0.281050455361945,0.0803616734576832
500,500,"linear-interaction","R-Lasso",-0.00634820928636426,0.143592575928742,0.0206178899672713
500,500,"linear-interaction","S-Lasso",0.0156981888031524,0.206329152876063,0.0427330090196002
500,500,"log","R-Lasso",0.000286049680109812,0.139675414430247,0.0194702847778883
500,500,"log","S-Lasso",0.0400025942518192,0.26800425531755,0.0732828358534538
1000,200,"linear-interaction","R-Lasso",-0.00154062151079248,0.0971898365754723,0.00940100852653869
1000,200,"linear-interaction","S-Lasso",0.0182953985159855,0.156488977263305,0.0247010776117494
1000,200,"log","R-Lasso",-0.00566848797904151,0.0961852759176732,0.00923748102281067
1000,200,"log","S-Lasso",0.0360241032890267,0.244839556810839,0.06094441255421
1000,500,"linear-interaction","R-Lasso",-0.000881506918521957,0.0957452561267979,0.00914959681709196
1000,500,"linear-interaction","S-Lasso",0.0111875148604039,0.145014590931372,0.0211123336085788
1000,500,"log","R-Lasso",0.00310653206287936,0.103514232972507,0.0107034165764884
1000,500,"log","S-Lasso",0.0201330449776225,0.243015417510824,0.0593437196617352
